"symbol_code","text_codes","primary_symbol_label","all_labels"
"1","","noSym","noSym | NONE"
"2","","accidentalNatural","accidentalNatural | medRenNatural | accidentalNaturalArabic | NATURAL"
"3","#x","accidentalTripleSharp","accidentalTripleSharp | SHARP3"
"4","x","accidentalDoubleSharp","accidentalDoubleSharp | accidentalSharpSharp | accidentalDoubleSharpArabic | SHARP2 | SHARP_SHARP"
"5","#","accidentalSharp","accidentalSharp | accidentalBakiyeSharp | accidentalWyschnegradsky6TwelfthsSharp | accidentalSharpArabic | accidentalNaturalSharp | SHARP | NATURAL_SHARP"
"6","b","accidentalFlat","accidentalFlat | accidentalKucukMucennebFlat | accidentalWyschnegradsky6TwelfthsFlat | accidentalFlatArabic | accidentalNaturalFlat | FLAT | NATURAL_FLAT"
"7","bb","accidentalDoubleFlat","accidentalDoubleFlat | accidentalDoubleFlatArabic | FLAT2"
"8","bbb","accidentalTripleFlat","accidentalTripleFlat | FLAT3"
"9","#+","accidentalThreeQuarterTonesSharpStein","accidentalThreeQuarterTonesSharpStein | accidentalWyschnegradsky9TwelfthsSharp | accidentalThreeQuarterTonesSharpArabic | SHARP_SLASH4 | NINE_TWELFTH_SHARP"
"10","+","accidentalQuarterToneSharpStein","accidentalQuarterToneSharpStein | accidentalWyschnegradsky3TwelfthsSharp | accidentalKomaSharp | accidentalQuarterToneSharpArabic | SHARP_SLASH | THREE_TWELFTH_SHARP"
"11","D","accidentalQuarterToneFlatFilledReversed","accidentalQuarterToneFlatFilledReversed"
"12","d","accidentalQuarterToneFlatStein","accidentalQuarterToneFlatStein | accidentalNarrowReversedFlat | accidentalKomaFlat | accidentalLowerOneUndecimalQuartertone | MIRRORED_FLAT"
"13","B","accidentalQuarterToneFlatPenderecki","accidentalQuarterToneFlatPenderecki"
"14","db","accidentalThreeQuarterTonesFlatZimmermann","accidentalThreeQuarterTonesFlatZimmermann | accidentalNarrowReversedFlatAndFlat | accidentalThreeQuarterTonesFlatCouper | MIRRORED_FLAT2"
"15","Db","accidentalFilledReversedFlatAndFlat","accidentalFilledReversedFlatAndFlat"
"16","b//","accidentalBuyukMucennebFlat","accidentalBuyukMucennebFlat | FLAT_SLASH2"
"17","b/","accidentalBakiyeFlat","accidentalBakiyeFlat | accidentalQuarterToneFlatArabic | accidentalOneQuarterToneFlatStockhausen | FLAT_SLASH"
"18","E","accidentalKucukMucennebSharp","accidentalKucukMucennebSharp | SHARP_SLASH3"
"19","E|","accidentalBuyukMucennebSharp","accidentalBuyukMucennebSharp | SHARP_SLASH2"
"20","|b","accidentalThreeQuarterTonesFlatArabic","accidentalThreeQuarterTonesFlatArabic | accidentalThreeQuarterTonesFlatGrisey"
"21","|E","accidentalThreeQuarterTonesSharpStockhausen","accidentalThreeQuarterTonesSharpStockhausen"
"22","x^3","accidentalDoubleSharpThreeArrowsUp","accidentalDoubleSharpThreeArrowsUp | DOUBLE_SHARP_THREE_ARROWS_UP"
"23","x^2","accidentalDoubleSharpTwoArrowsUp","accidentalDoubleSharpTwoArrowsUp | DOUBLE_SHARP_TWO_ARROWS_UP"
"24","x^","accidentalDoubleSharpOneArrowUp","accidentalDoubleSharpOneArrowUp | accidentalFiveQuarterTonesSharpArrowUp | SHARP2_ARROW_UP | DOUBLE_SHARP_ONE_ARROW_UP"
"25","xv","accidentalDoubleSharpOneArrowDown","accidentalDoubleSharpOneArrowDown | accidentalThreeQuarterTonesSharpArrowDown | SHARP2_ARROW_DOWN | DOUBLE_SHARP_ONE_ARROW_DOWN"
"26","xv2","accidentalDoubleSharpTwoArrowsDown","accidentalDoubleSharpTwoArrowsDown | DOUBLE_SHARP_TWO_ARROWS_DOWN"
"27","xv3","accidentalDoubleSharpThreeArrowsDown","accidentalDoubleSharpThreeArrowsDown | DOUBLE_SHARP_THREE_ARROWS_DOWN"
"28","#+^","accidentalOneAndAHalfSharpsArrowUp","accidentalOneAndAHalfSharpsArrowUp"
"29","#+v","accidentalOneAndAHalfSharpsArrowDown","accidentalOneAndAHalfSharpsArrowDown"
"30","#^3","accidentalSharpThreeArrowsUp","accidentalSharpThreeArrowsUp | SHARP_THREE_ARROWS_UP"
"31","#^2","accidentalSharpTwoArrowsUp","accidentalSharpTwoArrowsUp | SHARP_TWO_ARROWS_UP"
"32","#^","accidentalSharpOneArrowUp","accidentalSharpOneArrowUp | accidentalThreeQuarterTonesSharpArrowUp | accidentalSharpRaisedStockhausen | SHARP_ARROW_UP | SHARP_ONE_ARROW_UP"
"33","#v","accidentalSharpOneArrowDown","accidentalSharpOneArrowDown | accidentalQuarterToneSharpArrowDown | accidentalSharpLoweredStockhausen | SHARP_ARROW_DOWN | SHARP_ONE_ARROW_DOWN"
"34","#v2","accidentalSharpTwoArrowsDown","accidentalSharpTwoArrowsDown | SHARP_TWO_ARROWS_DOWN"
"35","#v3","accidentalSharpThreeArrowsDown","accidentalSharpThreeArrowsDown | SHARP_THREE_ARROWS_DOWN"
"36","+^","accidentalHalfSharpArrowUp","accidentalHalfSharpArrowUp"
"37","+v","accidentalHalfSharpArrowDown","accidentalHalfSharpArrowDown"
"38","^3","accidentalNaturalThreeArrowsUp","accidentalNaturalThreeArrowsUp | NATURAL_THREE_ARROWS_UP"
"39","^2","accidentalNaturalTwoArrowsUp","accidentalNaturalTwoArrowsUp | NATURAL_TWO_ARROWS_UP"
"40","^","accidentalNaturalOneArrowUp","accidentalNaturalOneArrowUp | accidentalQuarterToneSharpNaturalArrowUp | accidentalNaturalRaisedStockhausen | NATURAL_ARROW_UP | NATURAL_ONE_ARROW_UP"
"41","/","accidentalArrowUp","accidentalArrowUp | accidentalCombiningLower23Limit29LimitComma | accidentalRaisedStockhausen | ARROW_UP"
"42","v","accidentalNaturalOneArrowDown","accidentalNaturalOneArrowDown | accidentalQuarterToneFlatNaturalArrowDown | accidentalNaturalLoweredStockhausen | NATURAL_ARROW_DOWN | NATURAL_ONE_ARROW_DOWN"
"43","\","accidentalArrowDown","accidentalArrowDown | accidentalCombiningRaise23Limit29LimitComma | accidentalLoweredStockhausen | ARROW_DOWN"
"44","v2","accidentalNaturalTwoArrowsDown","accidentalNaturalTwoArrowsDown | NATURAL_TWO_ARROWS_DOWN"
"45","v3","accidentalNaturalThreeArrowsDown","accidentalNaturalThreeArrowsDown | NATURAL_THREE_ARROWS_DOWN"
"46","d^","accidentalReversedFlatArrowUp","accidentalReversedFlatArrowUp"
"47","D^","accidentalFilledReversedFlatArrowUp","accidentalFilledReversedFlatArrowUp"
"48","dv","accidentalReversedFlatArrowDown","accidentalReversedFlatArrowDown"
"49","Dv","accidentalFilledReversedFlatArrowDown","accidentalFilledReversedFlatArrowDown"
"50","b^3","accidentalFlatThreeArrowsUp","accidentalFlatThreeArrowsUp | FLAT_THREE_ARROWS_UP"
"51","b^2","accidentalFlatTwoArrowsUp","accidentalFlatTwoArrowsUp | FLAT_TWO_ARROWS_UP"
"52","b^","accidentalFlatOneArrowUp","accidentalFlatOneArrowUp | accidentalQuarterToneFlatArrowUp | accidentalFlatRaisedStockhausen | FLAT_ARROW_UP | FLAT_ONE_ARROW_UP"
"53","bv","accidentalFlatOneArrowDown","accidentalFlatOneArrowDown | accidentalThreeQuarterTonesFlatArrowDown | accidentalFlatLoweredStockhausen | FLAT_ARROW_DOWN | FLAT_ONE_ARROW_DOWN"
"54","bv2","accidentalFlatTwoArrowsDown","accidentalFlatTwoArrowsDown | FLAT_TWO_ARROWS_DOWN"
"55","bv3","accidentalFlatThreeArrowsDown","accidentalFlatThreeArrowsDown | FLAT_THREE_ARROWS_DOWN"
"56","db^","accidentalReversedFlatAndFlatArrowUp","accidentalReversedFlatAndFlatArrowUp"
